"x"
"mt-Atp8"
"mt-Co2"
"mt-Co1"
"mt-Atp6"
"mt-Co3"
"mt-Nd4l"
"Gm29216"
"mt-Nd1"
"mt-Cytb"
"mt-Nd4"
"mt-Nd3"
"mt-Nd2"
"mt-Tp"
"mt-Nd6"
"mt-Rnr1"
"Mir6236"
"mt-Rnr2"
"Gm28661"
"mt-Nd5"
"Fth1"
"Ttr"
"Apoe"
"mt-Ts1"
"Calm2"
"Cpe"
"Gapdh"
"Eef1a1"
"Cst3"
"Tmsb4x"
"Mbp"
"Rplp1"
"Hspa8"
"Snap25"
"Hpca"
"Ppia"
"Atp1b1"
"Ubb"
"Selenow"
"Ptgds"
"Rps24"
"Rps29"
"Ywhah"
"Olfm1"
"Cox8a"
"Ubc"
"Calm3"
"Meg3"
"Calm1"
"Usmg5"
"Gm42418"
"Glul"
"Plp1"
"Ncdn"
"Camk2a"
"Ndrg4"
"Atp6v0c"
"Mt3"
"Gnas"
"Tuba1a"
"Atp5b"
"Rpl13a"
"Cox6c"
"Rps15"
"Hsp90ab1"
"Actb"
"Sparcl1"
"Nrgn"
"Tspan7"
"Cox4i1"
"Gpm6a"
"Pkm"
"Psap"
"Tpt1"
"Rtn1"
"Ndufa4"
"Rpl41"
"Cox6a1"
"Clu"
"Atp5g3"
"Actg1"
"Ndfip1"
"Syp"
"Nptn"
"Atp1a3"
"Ywhae"
"Ddn"
"Cfl1"
"Sst"
"Ppp3ca"
"Rpl26"
"Chn1"
"Serinc1"
"Dynll1"
"Rpl38"
"Hsp90aa1"
"Ckb"
"Mdh1"
"Hnrnpa2b1"
"Vamp2"
"Mt1"
"Zwint"
"Ppp3r1"
"Rpl18a"
"Rpl35a"
"Eif4a2"
"Ywhaz"
"Rpl23a"
"Rps17"
"Thra"
"Rps21"
"Eno2"
"App"
"Gm11808"
"Rtn3"
"Rpl31"
"Itm2b"
"Ddx5"
"Gm10123"
"2900097C17Rik"
"Rps27rt"
"Atp5l"
"Cox6b1"
"Prnp"
"Mt2"
"Myl6"
"Uqcrh"
"Gpm6b"
"Rpl19"
"Enpp2"
"Aplp1"
"Snrpn"
"Atp5h"
"Ptms"
"Mobp"
"Rpl3"
"Rpl9"
"Eno1"
"Rps25"
"Fkbp1a"
"Rpl10"
"Slc17a7"
"Uchl1"
"Cox7c"
"Sod1"
"Stmn3"
"Dnm1"
"Gabarapl1"
"Arf3"
"Tuba1b"
"Dbi"
"Gpi1"
"Syt1"
"Kif5a"
"Cck"
"Mir5125"
"Hnrnpk"
"Rpl32"
"Aldoc"
"Rps14"
"Rian"
"Gm10275"
"Tubb2a"
"Snhg11"
"Pebp1"
"Ociad1"
"Atp5k"
"Rps6"
"Rps27a"
"Atp5a1"
"Gm24270"
"Ywhag"
"Rtn4"
"Gm10925"
"Rps3a1"
"Ghitm"
"mt-Te"
"Atp2b1"
"Pfn2"
"AC152063.6"
"Nsg2"
"Thy1"
"Nnat"
"Rps23-ps1"
"Slc1a2"
"Snca"
"Gdi1"
"Eef1a2"
"Itm2c"
"Rpl37a"
