SampleID,REGION,Pathology
2338,Cerebellum,NA
2351,Cerebellum,NA
2392,Cerebellum,NA
2393,Cerebellum,NA
2393,Cerebellum,NA
2434,Cerebellum,NA
1462,Cerebellum,NA
1472,Cerebellum,NA
1473,Cerebellum,NA
1475,Cerebellum,NA
2337,Cerebellum,NA
2341,Cerebellum,NA
2342,Cerebellum,NA
2416,Cerebellum,NA
2417,Cerebellum,NA
2418,Cerebellum,NA
1145,Cerebellum,NA
1151,Cerebellum,NA
1161,Cerebellum,NA
2098,Cerebellum,NA
2152,Cerebellum,NA
2153,Cerebellum,NA
2155,Cerebellum,NA
