SampleID,REGION,Age,MODELDIS,0610006I08RIK Expression,Pathology
967,Cortex,2,HO_TASTPM,11.435,0
968,Cortex,2,HO_TASTPM,11.3578,0
969,Cortex,2,HO_TASTPM,11.3636,0
809,Cortex,4,HO_TASTPM,11.3893,1
810,Cortex,4,HO_TASTPM,11.4407,0.5
811,Cortex,4,HO_TASTPM,11.3776,2
812,Cortex,4,HO_TASTPM,11.3878,0
451,Cortex,8,HO_TASTPM,11.3063,3
452,Cortex,8,HO_TASTPM,11.4189,4
453,Cortex,8,HO_TASTPM,11.354,3
454,Cortex,8,HO_TASTPM,11.1285,4
97,Cortex,18,HO_TASTPM,11.1926,5
113,Cortex,18,HO_TASTPM,11.3506,5
154,Cortex,18,HO_TASTPM,11.2752,5
2424,Cortex,2,TAS10,11.2955,0
2425,Cortex,2,TAS10,11.2643,0
2439,Cortex,2,TAS10,11.3718,0
2440,Cortex,2,TAS10,11.0767,0
2391,Cortex,4,TAS10,11.3253,0
2431,Cortex,4,TAS10,11.4091,0
2415,Cortex,8,TAS10,11.2281,0
2442,Cortex,8,TAS10,11.0765,0
2443,Cortex,8,TAS10,11.1967,0
2099,Cortex,18,TAS10,11.1325,0
2125,Cortex,18,TAS10,11.5051,2
2154,Cortex,18,TAS10,11.3304,2
2187,Cortex,18,TAS10,11.2982,2
1809,Cortex,2,TAU,11.1656,0
1811,Cortex,2,TAU,11.4565,0
1825,Cortex,2,TAU,11.5226,0
1826,Cortex,2,TAU,11.2061,0
1816,Cortex,4,TAU,11.294,0
1817,Cortex,4,TAU,11.2808,0
1818,Cortex,4,TAU,11.2981,1
1819,Cortex,4,TAU,11.1556,0
1461,Cortex,8,TAU,11.3397,2
1463,Cortex,8,TAU,11.0868,3
1474,Cortex,8,TAU,11.2994,2
1494,Cortex,8,TAU,11.3496,1
1149,Cortex,18,TAU,11.2425,5
1150,Cortex,18,TAU,11.3457,3
1160,Cortex,18,TAU,11.4882,4
2357,Cortex,2,TPM,11.4454,0
2359,Cortex,2,TPM,11.408,0
2374,Cortex,2,TPM,11.2972,0
2375,Cortex,2,TPM,11.3857,0
2319,Cortex,4,TPM,11.1213,0
2331,Cortex,4,TPM,11.7704,0
2339,Cortex,4,TPM,11.1459,0
2350,Cortex,4,TPM,11.2802,0
2335,Cortex,8,TPM,11.2435,0
2336,Cortex,8,TPM,11.2894,0
2343,Cortex,8,TPM,11.1579,0
2344,Cortex,8,TPM,11.2318,0
2297,Cortex,18,TPM,11.0867,0
2306,Cortex,18,TPM,11.1674,0
2314,Cortex,18,TPM,11.2829,0
1804,Cortex,2,WILD,11.3592,NA
1808,Cortex,2,WILD,11.6198,NA
1810,Cortex,2,WILD,11.4835,NA
1824,Cortex,2,WILD,11.4741,NA
2358,Cortex,2,WILD,11.291,NA
2360,Cortex,2,WILD,11.2231,NA
2376,Cortex,2,WILD,11.4495,NA
2398,Cortex,2,WILD,11.4969,NA
2399,Cortex,2,WILD,11.262,NA
2423,Cortex,2,WILD,11.3737,NA
2438,Cortex,2,WILD,11.292,NA
1838,Cortex,4,WILD,11.2593,NA
1839,Cortex,4,WILD,11.3985,NA
2320,Cortex,4,WILD,11.2281,NA
